Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
단기 저축 목표,2018-08-31, 1169229.6869196328 , 47132811.21578559 , 45771249.41937667 , 39424145.21112103 , 38902107.17632615 , 43153798.626903966 ,,,
단기 저축 목표,2018-09-30, 1169229.6869196328 , 48183689.42728958 , 47135305.11109243 , 40933814.25353203 , 40168592.13118659 , 44719556.09667358 ,,,
단기 저축 목표,2018-10-31, 1169229.6869196328 , 48353436.548219636 , 45031423.43533065 , 36625954.14489287 , 41438243.29843418 , 46299700.85928238 ,,,
단기 저축 목표,2018-11-30, 1169229.6869196328 , 49575583.30897039 , 47003174.97362492 , 39005162.34124398 , 42711068.59359989 , 47894365.11540591 ,,,
단기 저축 목표,2018-12-31, 1169229.6869196328 , 50826714.47130201 , 43856839.52714805 , 39133835.25951985 , 43987075.95200352 , 49503682.28047351 ,,,
단기 저축 목표,2019-01-31, 1169229.6869196328 , 52065854.46077162 , 48475237.35538384 , 43441657.16402721 , 45266273.32880316 , 51027280.92436299 ,,,
단기 저축 목표,2019-02-28, 1169229.6869196328 , 53890994.80349395 , 51083785.513784945 , 44423089.081169896 , 46548668.699044794 , 52561786.152114585 ,,,
단기 저축 목표,2019-03-31, 1169229.6869196328 , 56367466.02250755 , 53166792.352971375 , 44481653.13755543 , 47834270.05771203 ," 54,107,276 ",,,
단기 저축 목표,2019-04-30, 1169229.6869196328 , 58851028.599906355 , 56424280.856754124 , 46955879.21599755 , 49123085.41977594 , 55663829.21443649 ,,,
단기 저축 목표,2019-05-31, 1169229.6869196328 ," 60,116,134 ", 53880054.133046426 , 44673736.998308256 , 50415122.820245005 , 57231524.87784466 ,,,
단기 저축 목표,2019-06-30, 1169229.6869196328 , 63383621.67081374 , 58761313.17139425 , 47785235.34157412 , 51710390.31421524 , 58810442.790820874 ,,,
단기 저축 목표,2019-07-31, 1169229.6869196328 , 65742640.34475282 , 60699916.671485476 , 46572966.836020656 , 53008895.97692041 , 60400663.28712396 ,,,
단기 저축 목표,2019-08-31, 1169229.6869196328 , 66817956.905461654 , 60768883.97969348 , 46433958.19816317 , 54310647.90378234 , 62002267.275576875 ,,,
단기 저축 목표,2019-09-30, 1169229.6869196328 , 67810128.17564723 , 62980090.83799483 , 49848519.59244949 , 55615654.21046142 , 63615336.244183205 ,,,
단기 저축 목표,2019-10-31, 1169229.6869196328 , 69568958.88859671 , 65433956.17073294 , 51508728.25036185 ," 56,923,923 ", 65239952.26427323 ,,,
단기 저축 목표,2019-11-30, 1169229.6869196328 , 72252693.47611657 , 68828797.76745872 ," 52,785,984 "," 58,235,463 ", 66876197.99467964 ,,,
단기 저축 목표,2019-12-31, 1169229.6869196328 , 74556252.26856482 , 71963524.98326148 , 56726021.889471106 , 59550280.87064725 , 68524156.68594308 ,,,
단기 저축 목표,2020-01-31, 1169229.6869196328 , 76863348.49698575 , 73013207.66895437 , 55861939.909708574 ," 60,868,386 ", 70152953.74860722 ,,,
단기 저축 목표,2020-02-29, 1169229.6869196328 , 78128075.41774014 , 68038851.20181191 , 53548436.131550334 , 62189786.912312485 , 71792674.57929581 ,,,
단기 저축 목표,2020-03-31, 1169229.6869196328 , 79456641.37687601 , 60692823.064309485 , 48452651.990650766 , 63514491.06651289 , 73443392.43987224 ,,,
